epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.8994,0.65394,0.64683,1,0.61572,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,24.7322,0.56148,0.72222,1,0.53149,0.00321847,0.00107282,0.00321847,0.00107282,0.00321847,0.00107282,0.00321847,0.00107282
3,35.7407,0.4818,0.81349,1,0.36682,0.00480394,0.00160131,0.00480394,0.00160131,0.00480394,0.00160131,0.00480394,0.00160131
4,46.6093,0.28733,0.86111,1,0.24496,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,57.646,0.20194,0.94841,1,0.12683,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,68.4104,0.20214,0.96825,1,0.06331,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,79.0516,0.11991,0.96825,1,0.09258,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,89.8722,0.1445,0.96825,1,0.09081,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,100.544,0.12247,0.97619,1,0.0508,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,111.375,0.15,0.97222,1,0.07308,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,122.044,0.08113,0.96825,1,0.1013,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,132.792,0.15588,0.97619,1,0.06043,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,143.496,0.14188,0.98016,1,0.06123,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,154.297,0.08708,0.97222,1,0.06337,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,164.914,0.07809,0.97619,1,0.04324,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,175.638,0.06074,0.97619,1,0.04533,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,186.292,0.05618,0.98413,1,0.02839,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,197.047,0.12949,0.98016,1,0.03544,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,207.644,0.06633,0.99206,1,0.03168,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,218.425,0.11662,0.9881,1,0.03261,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,229.051,0.07013,0.98413,1,0.04244,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,239.892,0.06338,0.99603,1,0.02177,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,250.572,0.05551,0.96825,1,0.04924,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,261.248,0.11455,0.9881,1,0.02543,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,271.887,0.09385,0.97619,1,0.05523,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,282.598,0.07706,0.9881,1,0.02101,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,293.194,0.0674,0.9881,1,0.03038,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
