epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.0031,0.67658,0.66602,1,0.5835,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327
2,95.8468,0.51091,0.85521,1,0.28353,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891
3,141.93,0.26708,0.93243,1,0.14284,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288
4,188.11,0.16385,0.95367,1,0.09652,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,234.358,0.12712,0.95946,1,0.09326,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,280.545,0.10937,0.96718,1,0.07791,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,326.913,0.09607,0.96332,1,0.05692,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,373.11,0.08431,0.96911,1,0.07544,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,419.287,0.07838,0.96718,1,0.13654,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,465.434,0.08,0.96911,1,0.06772,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,511.716,0.07362,0.9749,1,0.06353,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,557.94,0.0682,0.96718,1,0.05874,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,604.112,0.06351,0.96911,1,0.06243,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,650.218,0.0556,0.9749,1,0.06846,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,696.327,0.06021,0.9749,1,0.06452,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,742.411,0.05623,0.97683,1,0.05789,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,788.651,0.05375,0.97104,1,0.24394,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,834.848,0.05695,0.97876,1,0.07849,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,881.165,0.04969,0.97104,1,0.06391,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,927.249,0.05057,0.97297,1,0.05023,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,973.204,0.04896,0.97876,1,0.05768,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,1019.4,0.04791,0.9749,1,0.19058,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,1065.44,0.04402,0.97683,1,0.65147,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1111.52,0.04332,0.97297,1,0.05326,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,1157.71,0.04811,0.97683,1,0.06205,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1203.72,0.0415,0.96718,1,0.06961,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,1249.91,0.04298,0.9749,1,0.05725,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,1296.17,0.04076,0.96911,1,0.14374,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,1342.33,0.03899,0.97297,1,0.06709,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,1388.53,0.03955,0.97297,1,0.05897,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,1434.62,0.04284,0.97297,1,0.07809,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,1480.75,0.03592,0.97297,1,0.0725,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,1527.34,0.04155,0.97683,1,0.07355,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,1573.57,0.04055,0.97297,1,0.06799,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,1619.59,0.0375,0.9749,1,0.06826,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,1665.56,0.0352,0.97297,1,0.07517,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,1711.61,0.03638,0.9749,1,0.06843,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,1757.63,0.03537,0.97683,1,0.07177,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,1803.86,0.0325,0.97297,1,0.06578,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
