epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.8632,0.6988,0.61905,1,0.64209,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,22.5892,0.60916,0.75,1,0.55286,0.00321847,0.00107282,0.00321847,0.00107282,0.00321847,0.00107282,0.00321847,0.00107282
3,32.4293,0.49078,0.87302,1,0.30249,0.00480394,0.00160131,0.00480394,0.00160131,0.00480394,0.00160131,0.00480394,0.00160131
4,42.3779,0.31899,0.92857,1,0.18198,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,52.3614,0.25168,0.96429,1,0.10883,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,62.2658,0.26373,0.92063,1,0.20428,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,72.2303,0.20153,0.96825,1,0.10255,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,82.1732,0.1866,0.97222,1,0.09892,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,92.0224,0.15296,0.95635,1,0.13213,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,101.935,0.18531,0.97619,1,0.08391,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,111.757,0.11746,0.96825,1,0.07113,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,121.697,0.18349,0.96032,1,0.12403,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,131.556,0.18133,0.96825,1,0.088,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,141.536,0.11235,0.9881,1,0.05921,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,151.416,0.09978,0.98016,1,0.05714,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,161.343,0.08955,0.94841,1,0.10666,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,171.215,0.10558,0.98413,1,0.04325,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,181.187,0.17288,0.97222,1,0.07268,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,191.068,0.10277,0.98413,1,0.04425,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,201.025,0.12847,0.9881,1,0.04048,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,210.907,0.10646,0.98413,1,0.04823,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,220.732,0.09724,0.9881,1,0.04952,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,230.56,0.08466,0.96825,1,0.06536,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,240.506,0.15885,0.96825,1,0.06997,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,250.442,0.12788,0.9881,1,0.03425,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,260.369,0.09912,0.98016,1,0.0539,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,270.21,0.08901,0.97222,1,0.05629,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,280.161,0.09188,0.9881,1,0.03122,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,290.115,0.12004,0.96429,1,0.08707,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,299.965,0.11641,0.98413,1,0.05016,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,309.817,0.07728,0.98016,1,0.07335,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,319.762,0.06938,0.98413,1,0.0381,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,329.697,0.0692,0.98016,1,0.07413,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,339.547,0.07868,0.98413,1,0.03644,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,349.326,0.07404,0.98413,1,0.06815,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,359.29,0.11048,0.98413,1,0.06135,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,369.143,0.06406,0.99206,1,0.03753,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,378.977,0.06775,0.96825,1,0.06883,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,388.826,0.0515,0.98413,1,0.07292,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,398.779,0.09465,0.96825,1,0.09924,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,408.548,0.07017,0.98016,1,0.04176,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,418.385,0.05946,0.9881,1,0.03551,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,428.18,0.118,0.98413,1,0.03591,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,438.075,0.07459,0.98413,1,0.04377,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,447.94,0.07162,0.98016,1,0.04521,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,457.816,0.07176,0.97619,1,0.0611,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
