epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.037,0.68878,0.61969,1,0.5918,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327
2,87.2294,0.5454,0.85328,1,0.32316,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891
3,129.549,0.30781,0.91313,1,0.19385,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288
4,172.028,0.19748,0.93822,1,0.19316,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,214.274,0.1571,0.94595,1,0.12404,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,257.162,0.15151,0.95946,1,0.12628,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,300.359,0.13244,0.94595,1,0.09823,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,343.515,0.11943,0.94981,1,0.13112,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,386.841,0.11246,0.95174,1,0.1448,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,430.434,0.10865,0.96332,1,0.07736,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,474.185,0.10855,0.96139,1,0.08109,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,517.622,0.09702,0.94788,1,0.09194,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,561.067,0.09529,0.95753,1,0.11359,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,604.262,0.09858,0.96911,1,0.07601,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,647.865,0.09046,0.96525,1,0.0859,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,691.441,0.08615,0.96718,1,0.10622,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,734.707,0.08814,0.97104,1,0.07937,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,778.044,0.07903,0.96525,1,0.10852,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,821.355,0.08391,0.96332,1,0.07593,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,865.07,0.07822,0.97104,1,0.08063,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,908.442,0.08154,0.96332,1,0.0809,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,952.089,0.07628,0.94595,1,0.21969,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,995.297,0.07498,0.97104,1,0.72294,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1038.65,0.07644,0.96525,1,0.08329,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,1082.05,0.07209,0.96332,1,0.08767,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1125.37,0.06837,0.97104,1,0.07372,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,1168.73,0.06824,0.96525,1,0.07721,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,1211.97,0.07008,0.96718,1,0.28099,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,1255.39,0.0664,0.96332,1,0.08503,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,1299.08,0.06676,0.95753,1,0.08159,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,1342.44,0.06569,0.96139,1,0.07977,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,1385.77,0.0661,0.95753,1,0.10219,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,1428.84,0.05967,0.94788,1,0.10017,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,1472.24,0.06083,0.96525,1,0.07106,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,1515.52,0.06042,0.97104,1,0.11192,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,1559.08,0.05581,0.97297,1,0.07531,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,1602.34,0.0546,0.96525,1,0.09084,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,1646.16,0.0544,0.96718,1,0.07744,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,1689.44,0.05822,0.95946,1,0.08692,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,1732.99,0.05806,0.96911,1,0.07981,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,1776.44,0.05853,0.96718,1,0.08276,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,1819.79,0.05525,0.9749,1,0.08149,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,1862.86,0.05387,0.96332,1,0.08011,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,1906.07,0.05445,0.97297,1,0.06718,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,1949.26,0.05339,0.96332,1,0.07651,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,1992.83,0.05323,0.96911,1,0.10842,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,2036.04,0.05302,0.97297,1,0.07812,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,2079.55,0.04684,0.96718,1,0.13171,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,2122.82,0.05251,0.96525,1,0.07746,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,2165.88,0.05363,0.96139,1,0.08597,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,2209.18,0.04807,0.96718,1,0.07887,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,2252.32,0.04629,0.97104,1,0.08484,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,2296.02,0.04417,0.96332,1,0.10981,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,2339.35,0.04797,0.96525,1,0.09877,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,2383.05,0.05113,0.96525,1,0.07608,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,2426.38,0.05177,0.96718,1,0.08909,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,2469.95,0.04571,0.97104,1,0.06726,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,2513.27,0.04925,0.96139,1,0.08604,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,2556.46,0.04543,0.96525,1,0.08633,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
