epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.9158,0.66399,0.56178,1,0.7168,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327
2,90.0248,0.56075,0.70077,1,0.60368,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891
3,132.946,0.34293,0.78378,1,0.53817,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288
4,175.684,0.2,0.95367,1,0.20858,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,218.482,0.1396,0.95174,1,0.10012,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,261.24,0.1297,0.95367,1,0.08213,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,304.332,0.11308,0.9556,1,0.07555,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,347.118,0.10158,0.95753,1,0.14834,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,389.839,0.09629,0.9556,1,0.16378,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,432.549,0.08859,0.96139,1,0.07162,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,475.347,0.08951,0.96525,1,0.06164,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,518,0.0777,0.95753,1,0.07469,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,560.679,0.07698,0.96139,1,0.0722,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,603.581,0.07377,0.95367,1,0.07079,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,646.664,0.07604,0.96911,1,0.06109,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,689.705,0.06984,0.96525,1,0.06981,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,732.62,0.07557,0.96332,1,0.07879,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,775.37,0.05748,0.96139,1,0.15449,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,818.174,0.06089,0.97104,1,0.06081,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,860.98,0.05725,0.96718,1,0.07283,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,903.881,0.05928,0.96332,1,0.07389,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,946.813,0.05634,0.95946,1,0.21234,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,989.608,0.06241,0.96911,1,0.60977,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1032.51,0.06246,0.96911,1,0.06746,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,1075.35,0.05824,0.96525,1,0.07494,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1118.1,0.05163,0.96332,1,0.06917,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,1161.18,0.04654,0.96139,1,0.07781,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,1203.93,0.05436,0.96911,1,0.10722,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,1246.73,0.05211,0.96332,1,0.07726,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,1289.57,0.04757,0.96911,1,0.07101,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,1332.47,0.05097,0.97683,1,0.06583,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,1375.42,0.04657,0.97297,1,0.05919,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,1418.37,0.04904,0.96525,1,0.14974,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,1461.24,0.04308,0.96911,1,0.07226,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,1504.21,0.04721,0.96911,1,0.12295,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,1547.21,0.04463,0.97297,1,0.06256,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,1590.2,0.04744,0.96911,1,0.07612,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,1633.07,0.04195,0.97104,1,0.06284,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,1676.05,0.04175,0.96525,1,0.06982,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,1719.03,0.04793,0.97104,1,0.06297,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,1761.96,0.04475,0.96718,1,0.07181,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
