epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.0387,0.66191,0.59846,1,0.60612,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327
2,93.4428,0.54577,0.80695,1,0.43962,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891
3,137.372,0.32238,0.861,1,0.27205,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288
4,181.325,0.17805,0.95946,1,0.17424,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,225.357,0.13259,0.97104,1,0.09033,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,269.364,0.11839,0.96139,1,0.15108,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,313.638,0.10398,0.96911,1,0.06056,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,357.77,0.09204,0.96139,1,0.0927,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,402.072,0.09456,0.96139,1,0.0796,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,446.395,0.07947,0.95946,1,0.0753,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,490.667,0.08032,0.96139,1,0.07312,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,535.063,0.07664,0.95753,1,0.0739,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,579.338,0.07107,0.96525,1,0.06625,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,624.115,0.06747,0.95946,1,0.07534,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,670.749,0.06491,0.96332,1,0.06685,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,714.847,0.06702,0.96332,1,0.06589,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,758.903,0.06407,0.96911,1,0.09878,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,802.887,0.05782,0.96525,1,0.08957,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,847.086,0.05691,0.96911,1,0.06606,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,891.087,0.05518,0.96718,1,0.0647,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,935.215,0.05025,0.96332,1,0.0679,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,979.298,0.05535,0.96718,1,0.13002,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,1023.37,0.05194,0.96139,1,0.67562,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1067.44,0.05333,0.96139,1,0.0859,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,1111.51,0.05134,0.96139,1,0.08776,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1155.53,0.04774,0.97104,1,0.07648,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,1199.67,0.04673,0.96139,1,0.08829,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,1243.64,0.04985,0.97104,1,0.06299,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,1287.56,0.04152,0.96911,1,0.08847,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,1331.43,0.04706,0.97104,1,0.05975,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,1375.31,0.0458,0.96911,1,0.09151,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,1419.13,0.0429,0.97297,1,0.06376,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,1463.11,0.04566,0.96911,1,0.07326,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,1507.17,0.04229,0.97297,1,0.0649,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,1551.21,0.03936,0.97297,1,0.06257,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,1595.22,0.04169,0.97104,1,0.0629,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,1639.11,0.04635,0.97683,1,0.05735,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,1682.96,0.03955,0.9807,1,0.05211,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,1726.95,0.03983,0.96911,1,0.06961,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,1771.03,0.04345,0.9749,1,0.04849,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,1814.94,0.04118,0.97104,1,0.05787,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,1858.71,0.03358,0.97297,1,0.07306,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,1902.61,0.03412,0.97876,1,0.06202,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,1946.5,0.03972,0.97297,1,0.06775,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,1990.37,0.04143,0.96332,1,0.26837,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,2034.4,0.03522,0.96718,1,0.06812,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,2078.33,0.03552,0.97297,1,0.06192,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,2122.25,0.0337,0.97297,1,0.06821,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,2166.16,0.0346,0.97297,1,0.06288,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,2209.9,0.03437,0.9749,1,0.0665,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,2253.66,0.03392,0.97297,1,0.0776,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,2297.64,0.02957,0.97104,1,0.0789,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,2341.44,0.03404,0.96139,1,0.08848,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,2385.31,0.03258,0.97297,1,0.07813,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
